id,name,code,department_ids,department_id,teacher_id,year,semester,weekly_lectures,weekly_labs,lab_duration,lecture_duration,credits,type
c-mlx8n5tk0hmgxi,Discrete Mathemat,CS101,"[""dept-cs"",""dept-mloz3lcydz5d3y""]",\N,t-mlx88h3obhspg3,1,1,3,0,2,1,2,theory
c-mlx8o18dco62wh,Programming Language,CS102,"[""dept-cs"",""dept-mloz3lcydz5d3y""]",\N,t-mm1t9lo8k1seut,1,1,4,2,2,1,3,theory+lab
c-mlx8p7au95poyy, Information Technology Essentials,CS103,"[""dept-cs"",""dept-mloz3lcydz5d3y""]",\N,t-mm1t9lo8k1seut,1,1,3,0,2,1,2,theory
c-mlx8q62fa1hd9e,Web Technologies + Certiport Certification ,CS104,"[""dept-cs"",""dept-mloz3lcydz5d3y""]",\N,t-mlxcgoyz5g43af,1,1,3,2,2,1,2,theory+lab
c-mlx8rrwx0sidoe,Basics of Electrical & Electronics Engg,CS105,"[""dept-cs"",""dept-mloz3lcydz5d3y""]",\N,,1,1,2,2,1,1,2,theory+lab
c-mlx8t3wpc336zz,.Engg Graphics and CAD,CS106,"[""dept-cs"",""dept-mloz3lcydz5d3y""]",\N,t-mlxbv57ldox0tb,1,1,2,2,1,1,2,theory+lab
c-mlx8tztnipngv2,Environmen tal Science and Engg ,CS107,"[""dept-cs"",""dept-mloz3lcydz5d3y""]",\N,,1,1,1,0,2,2,0,theory
c-mlx8v8768wy3iw, Engg Mathematics,CS108,"[""dept-cs"",""dept-mloz3lcydz5d3y""]",\N,,1,2,3,0,2,1,2,theory
c-mlx8w71s82e1z2,Theory of computing,CS109,"[""dept-cs"",""dept-mloz3lcydz5d3y""]",\N,,1,2,2,0,2,1,2,theory
c-mlx98ln7ald4pm,Data Structures and Algorithms,CS111,"[""dept-cs"",""dept-mloz3lcydz5d3y""]",\N,,1,2,3,0,2,1,3,theory
c-mlx9cm0kyokd61,Database System Concepts,CS112,"[""dept-cs"",""dept-mloz3lcydz5d3y""]",\N,,1,2,3,2,2,1,2,theory+lab
c-mlx9dffigsrgk2, Computer Architectur e,CS113,"[""dept-cs"",""dept-mloz3lcydz5d3y""]",\N,,1,2,2,0,2,1,2,theory
c-mlx9ei3q7h9ej0,Computer Networks,CS114,"[""dept-cs"",""dept-mloz3lcydz5d3y""]",\N,,1,1,3,2,1,1,2,theory+lab
c-mlx9fg0ha52ynq,Climate Change and Carbon,CS115,"[""dept-cs"",""dept-mloz3lcydz5d3y""]",\N,,1,2,1,0,2,1,\N,theory
c-mlx9gr2s0yppn0, Object Oriented Analysis and Design,CS116,"[""dept-cs"",""dept-mloz3lcydz5d3y""]",\N,,2,3,2,2,1,1,2,theory+lab
